gen,error
0,18498
1,18192
2,17738
3,17541
4,17227
5,16846
6,16561
7,16269
8,16041
9,15804
10,15534
11,15389
12,15153
13,14961
14,14777
15,14556
16,14374
17,14171
18,14004
19,13902
20,13763
21,13632
22,13437
23,13310
24,13211
25,13041
26,12900
27,12785
28,12677
29,12560
30,12465
31,12363
32,12260
33,12144
34,12048
35,11954
36,11860
37,11774
38,11684
39,11613
40,11537
41,11460
42,11400
43,11323
44,11250
45,11186
46,11134
47,11082
48,11025
49,10960
50,10927
51,10874
52,10834
53,10779
54,10750
55,10718
56,10666
57,10643
58,10615
59,10582
60,10555
61,10530
62,10509
63,10484
64,10468
65,10456
66,10438
67,10423
68,10409
69,10395
70,10386
71,10379
72,10371
73,10366
74,10361
75,10357
76,10353
77,10352
78,10352
79,10352
